rainfall_intensity_mmh,rainfall_24h_mm,rainfall_72h_mm,antecedent_precip_index,soil_moisture_vwc,pore_water_pressure_kpa,slope_deg,elevation_m,lithology_weakness,historical_density,distance_to_road_cut_m,distance_to_drainage_m,sensor_anomaly_score,risk_score,landslide_occurred
2.65,26.98,47.69,67.04,35.89,0.0,41.74,1571.8,4,6.15,46.5,31.8,0.33,97.5,1
18.68,113.78,251.01,200.54,78.48,48.0,20.5,2039.2,1,2.13,56.1,158.2,31.13,100.0,1
10.05,54.76,139.7,120.92,58.67,21.2,34.19,2190.2,5,0.56,35.4,60.0,29.87,100.0,1
1.78,14.07,35.04,37.83,31.91,0.0,26.31,906.3,1,0.61,12.8,19.2,1.75,22.1,0
14.66,72.64,192.2,172.33,70.39,37.81,27.44,974.2,2,3.11,88.5,172.6,20.83,100.0,1
6.86,37.88,102.25,102.81,45.75,10.8,32.58,511.8,3,1.0,240.4,127.2,5.0,90.9,1
11.0,81.36,141.02,107.32,56.78,29.9,26.45,1926.3,1,0.83,49.1,119.8,29.23,100.0,1
5.57,66.03,131.62,105.05,53.98,20.75,25.75,878.9,2,5.22,32.4,161.6,4.99,100.0,1
4.79,23.06,32.76,67.78,29.21,0.0,35.5,1310.0,5,0.02,40.3,83.9,8.02,64.1,1
1.35,11.56,30.41,64.7,29.29,0.0,54.93,2250.7,5,1.34,237.6,199.7,5.49,72.6,1
5.01,22.6,36.54,46.98,17.63,0.0,42.44,1879.7,4,2.69,90.0,25.2,24.11,74.2,0
5.66,37.4,97.48,70.08,51.21,12.97,44.59,410.7,3,2.4,16.8,225.9,11.77,97.6,1
7.9,44.35,82.54,60.83,41.37,11.16,42.78,317.1,5,0.82,148.2,156.1,19.85,95.5,1
5.44,23.83,45.64,47.44,44.38,5.65,30.07,1953.6,2,1.38,20.1,120.0,31.41,80.6,1
1.46,6.43,9.36,39.39,15.47,0.0,38.64,1460.3,5,0.01,7.5,24.6,9.05,46.9,0
9.74,68.01,126.34,113.41,50.17,20.67,45.33,1812.7,3,1.38,35.4,58.7,0.01,96.3,1
17.25,149.35,394.83,290.16,88.0,48.0,43.04,629.3,4,1.61,22.1,63.0,0.2,96.2,1
8.67,40.93,58.76,75.47,38.93,6.82,37.65,2131.3,4,3.74,111.5,47.9,0.31,92.0,1
1.91,12.43,24.48,21.77,15.15,0.0,40.42,1924.0,5,0.43,79.5,554.9,0.05,28.7,0
2.49,22.11,31.93,30.49,23.97,0.0,56.93,2170.8,4,3.14,154.5,445.1,0.24,76.4,1
2.55,10.92,20.96,34.8,29.42,0.0,43.14,1016.3,4,2.28,86.0,142.2,1.8,57.1,0
10.14,89.17,146.39,107.12,55.3,23.56,33.32,879.0,3,1.97,65.2,41.4,0.73,100.0,1
0.67,7.97,13.97,17.47,32.13,0.0,35.37,618.6,4,0.9,89.6,435.7,6.26,31.3,0
2.86,34.29,90.14,92.44,42.52,6.98,27.04,2253.2,4,0.82,68.4,249.1,1.4,78.4,0
3.23,17.38,34.94,64.4,24.39,0.0,55.95,671.3,2,2.19,4.5,7.1,0.46,81.5,1
6.12,31.79,56.69,75.72,39.53,5.75,49.63,550.6,3,8.33,137.0,121.5,1.49,97.1,1
4.94,37.18,82.73,95.54,52.81,14.24,36.71,704.6,2,0.94,392.8,167.2,4.08,83.9,1
10.1,75.16,120.17,113.07,56.15,22.15,54.54,1919.9,4,4.52,65.8,12.4,0.19,100.0,1
3.11,22.58,39.81,63.96,38.71,1.16,41.38,2168.0,1,1.59,66.1,9.2,0.18,54.7,0
1.08,5.51,11.93,24.98,33.4,0.0,32.34,2002.9,5,3.65,5.6,112.1,7.89,83.8,1
0.92,10.23,17.72,61.21,19.43,0.0,43.7,1482.8,3,0.44,265.3,0.4,1.28,29.0,0
19.2,80.7,189.72,136.56,78.75,47.46,39.39,2387.2,2,2.59,317.6,8.6,26.11,98.4,1
9.74,82.67,172.63,126.86,59.2,28.38,43.12,444.6,5,3.24,201.3,32.5,1.27,97.3,1
11.05,44.23,109.72,89.32,53.27,21.67,24.36,2121.1,1,3.21,13.5,433.4,0.01,91.3,1
3.75,34.31,93.59,109.73,45.78,7.5,29.11,1198.2,3,2.76,276.6,261.7,30.61,91.8,1
8.59,40.68,63.54,90.77,45.25,5.38,48.65,1255.8,4,0.65,2.9,107.8,17.31,93.2,1
2.19,18.6,34.75,63.36,36.76,0.49,50.39,567.9,3,1.33,70.6,117.4,0.32,68.7,1
8.93,95.28,176.02,147.72,72.7,47.66,48.03,370.2,3,0.64,83.3,208.5,0.31,96.0,1
4.5,19.66,31.69,49.0,30.66,0.0,54.86,964.9,4,0.76,215.5,115.8,0.07,59.4,0
5.93,26.25,66.52,91.92,41.68,15.01,40.91,667.2,5,0.65,166.8,11.9,24.87,92.4,1
4.49,30.24,74.52,84.74,41.24,6.58,40.31,1315.0,2,0.6,191.4,241.6,3.31,60.4,1
1.44,7.21,14.99,57.26,23.83,0.0,28.24,609.4,2,2.13,242.9,10.7,0.42,15.8,0
3.13,17.91,38.56,44.31,39.45,0.0,31.07,589.6,3,1.89,77.6,119.8,1.74,50.2,0
13.29,59.05,87.59,76.95,53.9,21.96,19.1,2141.7,3,0.41,181.8,356.1,15.86,91.6,1
1.21,9.03,19.67,56.25,24.66,0.0,33.27,2234.7,3,2.12,8.5,22.5,5.54,66.5,1
7.87,46.55,116.75,87.63,54.12,17.76,18.5,2324.9,2,0.62,70.6,220.7,3.24,84.4,1
2.59,15.95,35.14,70.41,30.33,0.0,45.19,1729.1,3,0.41,3.7,8.5,0.97,72.6,1
4.04,28.84,51.08,61.04,24.63,0.0,39.3,1919.1,4,2.48,296.3,894.7,5.21,62.3,0
4.44,19.18,44.78,75.8,30.52,0.0,18.78,2055.1,2,0.81,381.6,206.3,71.87,55.8,0
3.12,28.85,54.99,55.9,44.99,14.84,34.39,1683.7,2,1.52,10.5,625.2,18.78,95.1,1
6.12,58.05,125.55,118.83,50.66,16.65,52.73,993.5,4,0.4,91.3,198.6,1.83,92.3,1
2.43,13.65,28.43,45.21,40.65,3.11,34.93,628.4,1,1.71,47.2,49.9,2.67,42.8,0
8.3,43.29,83.72,87.62,50.47,14.19,27.51,798.3,4,0.42,50.3,469.6,32.8,93.8,1
3.96,35.01,84.24,82.45,46.0,12.7,20.82,2064.9,3,0.33,71.9,177.4,1.31,63.4,0
7.32,50.01,131.89,134.25,60.29,25.28,21.08,1761.8,3,0.88,16.0,154.4,2.35,94.4,1
24.01,99.68,140.28,127.33,53.78,25.82,40.55,1257.2,3,2.81,23.9,100.9,6.75,100.0,1
7.1,58.24,157.66,118.79,62.55,22.13,32.31,361.8,3,0.35,103.4,60.3,32.62,100.0,1
4.11,21.22,44.91,75.13,41.22,4.95,33.02,859.0,4,0.22,2.3,135.9,16.95,88.8,1
1.12,5.45,12.97,26.66,19.94,0.0,32.35,1830.7,5,0.06,109.9,82.0,2.05,19.2,0
3.89,24.93,64.76,63.82,44.5,7.38,34.81,1376.0,3,0.97,46.1,346.4,18.11,78.4,1
7.75,32.39,66.53,52.84,30.37,0.0,25.57,1214.6,3,0.6,214.2,5.3,0.33,33.8,0
0.84,4.1,10.52,52.34,15.76,0.0,38.69,958.7,1,0.62,110.0,135.9,2.23,10.8,0
5.06,32.07,52.87,52.24,46.21,12.66,23.91,1574.6,4,7.23,147.8,326.0,18.52,98.4,1
7.15,40.43,65.61,59.3,38.3,8.91,29.58,2329.4,3,0.39,14.6,5.0,17.24,88.7,1
4.73,23.92,55.5,82.48,32.31,0.49,44.59,2192.4,1,1.1,37.1,59.7,3.39,56.7,0
9.36,51.83,135.71,129.46,66.17,31.8,39.2,364.0,2,7.73,684.6,9.5,0.63,99.4,1
4.21,18.35,48.62,42.95,41.09,0.25,41.83,1310.0,2,0.06,68.2,162.7,14.75,42.9,0
0.48,3.4,7.83,44.71,27.72,0.0,54.28,991.9,2,2.15,53.3,68.6,1.08,49.4,0
6.25,47.74,101.95,112.36,45.13,8.74,35.49,1372.3,4,0.83,248.4,578.2,4.86,90.0,1
2.81,24.16,45.03,37.8,30.89,0.0,36.18,1573.0,5,4.26,4.0,172.4,30.56,96.1,1
4.26,49.31,136.7,130.99,60.15,26.64,33.75,720.1,4,4.37,91.8,148.5,5.12,98.5,1
2.96,33.96,62.74,70.41,41.73,8.84,32.23,1941.3,3,0.88,28.3,448.5,0.47,77.6,1
4.53,19.89,48.57,66.68,30.55,0.0,27.41,1297.6,3,0.45,55.1,45.6,0.04,36.2,0
14.1,72.18,154.82,127.81,64.37,30.34,36.71,2383.2,3,1.01,26.7,148.7,20.6,97.9,1
10.85,56.43,127.07,119.0,57.18,21.25,39.02,352.8,3,6.05,4.6,140.9,0.15,97.2,1
9.16,49.66,96.87,69.5,54.84,27.67,39.49,698.4,3,0.59,64.6,15.4,11.92,94.4,1
4.04,18.01,49.54,71.53,38.4,1.22,36.55,1748.2,2,7.16,186.8,484.0,0.53,91.9,1
6.26,38.71,85.18,61.86,34.81,0.91,43.87,1759.9,3,3.08,364.3,216.9,19.62,82.5,1
3.82,16.76,45.46,55.04,31.45,0.0,36.25,1522.6,3,0.56,117.3,394.2,10.57,40.3,0
1.92,13.63,19.22,24.29,19.81,0.0,32.52,2341.1,1,2.82,59.1,728.6,0.71,25.1,0
22.52,94.79,208.71,177.72,81.85,48.0,28.12,1172.2,1,0.09,176.3,117.6,3.05,91.9,1
3.3,16.63,39.97,45.1,36.73,0.0,22.83,1175.8,2,1.43,84.4,293.0,15.09,29.7,0
13.89,112.3,274.35,203.76,88.0,48.0,48.41,2212.0,3,0.8,55.0,155.1,0.0,100.0,1
4.03,22.91,61.1,64.01,35.5,4.9,30.06,1430.7,3,1.0,23.7,680.0,44.65,87.9,1
2.88,16.89,23.75,55.2,27.06,0.0,28.13,1042.8,1,1.15,190.8,51.1,3.12,15.8,0
3.09,29.91,41.89,53.88,32.98,0.0,32.45,1809.8,2,1.26,83.3,2.5,1.08,40.4,0
15.4,85.3,175.81,154.78,65.39,32.43,33.63,1601.3,1,1.92,398.3,37.0,0.2,96.8,1
7.39,55.31,79.71,60.12,35.01,4.94,49.93,943.5,5,2.15,194.3,24.7,1.08,95.9,1
5.32,59.86,165.46,121.17,54.03,19.2,33.21,925.7,3,6.69,65.4,103.4,13.7,99.3,1
12.56,52.07,89.08,87.72,52.55,16.9,58.0,1130.8,1,2.59,162.0,14.5,5.15,98.1,1
9.27,49.02,101.08,113.32,51.28,12.56,36.54,450.4,4,2.1,72.5,44.8,36.41,100.0,1
15.42,67.31,99.99,73.36,50.17,19.04,53.48,2279.5,2,0.9,10.0,18.2,6.14,100.0,1
3.79,19.46,41.46,33.89,39.2,3.53,43.6,684.3,3,0.23,87.2,120.1,0.01,40.1,0
3.84,27.33,52.79,46.36,27.25,0.0,39.07,707.0,2,0.11,240.9,55.9,2.47,29.2,0
3.48,20.81,30.43,53.63,18.11,0.0,49.41,1658.8,5,1.17,232.1,114.6,7.81,66.2,0
32.37,166.11,310.49,224.77,88.0,48.0,45.54,1820.9,5,1.99,102.7,16.8,2.7,100.0,1
28.12,115.61,225.2,188.53,84.82,48.0,41.39,1847.4,4,1.89,57.4,130.9,16.62,97.9,1
1.1,8.94,24.89,24.42,16.58,0.0,55.7,1087.7,4,5.5,1.2,25.1,5.47,98.2,1
11.35,49.62,83.91,68.38,45.65,8.36,31.76,2134.0,3,0.87,44.8,18.8,7.98,85.2,1
24.2,102.08,220.76,162.0,79.41,48.0,27.54,1442.4,5,1.78,550.3,66.8,1.64,99.7,1
1.74,8.96,24.92,49.4,22.14,0.0,30.25,1221.0,3,3.94,155.6,373.5,6.66,44.7,0
8.95,37.58,94.27,97.11,44.4,7.62,50.89,2001.8,2,0.93,151.7,279.7,14.71,88.9,1
13.98,94.67,264.21,182.32,79.33,44.75,48.33,811.5,2,1.17,171.8,575.6,10.68,100.0,1
0.62,2.55,7.03,52.04,18.42,0.0,31.54,2106.4,2,4.61,116.1,111.0,6.4,46.4,0
9.6,48.11,100.32,85.56,43.87,8.67,15.99,1431.5,3,1.44,105.8,67.4,15.62,82.9,1
2.19,25.15,59.73,75.92,40.07,7.78,34.25,2190.1,2,2.89,72.5,636.7,1.62,85.9,0
24.17,103.22,160.47,132.89,63.98,35.78,27.39,723.4,4,4.94,70.4,86.6,0.02,100.0,1
20.37,125.48,253.16,179.58,88.0,48.0,31.8,2265.7,3,1.52,245.6,1.6,1.15,97.7,1
16.21,102.41,259.37,211.67,77.33,48.0,27.04,1744.5,4,0.21,60.0,308.8,12.55,99.9,1
4.66,26.44,55.72,78.04,30.57,0.0,22.32,1598.5,3,3.1,220.1,33.4,18.76,66.5,0
8.69,82.45,196.54,150.58,78.37,43.21,52.01,1186.3,3,3.06,218.2,227.8,0.64,97.0,1
10.72,67.08,163.96,138.06,64.05,34.44,30.19,2308.3,3,0.22,176.8,2.7,11.65,99.1,1
5.37,24.25,42.56,44.27,36.99,2.32,48.01,1232.2,4,1.43,4.6,21.2,2.36,89.7,1
5.23,63.31,166.26,144.11,55.73,21.45,34.12,1346.9,1,1.2,19.2,118.9,4.5,100.0,1
1.35,10.67,21.8,33.08,30.49,0.0,26.39,1941.1,1,3.38,45.3,12.7,2.76,36.5,0
2.98,37.09,62.83,83.83,33.76,0.0,40.33,898.2,4,0.58,225.7,395.1,6.61,68.6,1
3.16,20.98,54.8,50.4,30.93,0.0,32.68,912.1,4,1.0,247.9,249.4,13.32,48.7,0
1.63,8.0,15.88,15.99,30.39,0.0,34.24,1928.1,3,1.67,5.1,71.6,12.27,57.8,1
2.67,12.39,30.36,36.82,35.47,0.0,37.23,570.0,3,1.31,47.1,163.8,21.36,57.6,1
10.89,45.24,98.05,77.33,53.66,17.95,29.1,2028.2,2,5.58,228.0,226.3,6.12,95.7,1
4.63,25.24,48.83,59.61,45.9,8.69,22.22,1612.9,2,5.82,34.5,253.5,7.05,90.4,1
7.18,58.26,147.62,110.12,68.93,30.18,35.56,1432.1,5,0.15,447.6,90.7,8.18,99.8,1
1.01,4.27,9.47,45.5,17.88,0.0,44.19,781.1,2,0.64,80.6,412.3,0.0,20.3,0
5.56,26.26,51.11,49.09,35.16,3.67,28.34,1951.4,3,0.01,332.4,511.8,36.3,51.5,0
6.4,36.04,55.99,73.21,33.52,0.0,37.31,1990.4,4,0.97,67.2,39.2,0.5,75.1,1
11.23,56.65,150.33,128.74,74.27,37.08,48.8,1314.2,1,1.95,47.0,435.9,0.01,98.4,1
4.71,19.85,28.77,68.08,34.69,0.0,35.24,1117.3,1,1.15,54.0,224.5,1.63,36.5,0
7.41,36.83,96.06,112.43,45.76,13.78,36.73,816.9,3,0.13,258.8,394.3,0.18,81.4,1
12.34,86.5,164.7,151.18,71.38,36.97,36.47,1883.9,4,0.39,48.2,99.5,0.27,100.0,1
9.03,44.87,102.98,106.14,41.44,12.31,30.2,1642.8,2,0.34,132.8,194.8,11.55,78.8,1
0.94,10.87,29.25,41.4,29.69,0.0,27.56,733.9,1,1.29,76.1,48.3,6.06,21.0,0
1.23,8.46,13.64,47.76,18.19,0.0,27.59,1968.4,2,2.04,341.0,250.3,3.76,11.0,0
12.47,83.65,183.51,167.33,61.25,34.25,39.13,2152.6,1,0.68,20.8,156.9,1.49,100.0,1
1.6,14.79,36.55,29.81,34.94,0.0,42.44,424.4,2,0.25,67.2,118.0,0.68,27.7,0
6.75,80.4,197.83,157.8,80.84,48.0,42.84,1922.1,3,2.88,16.0,212.4,3.93,100.0,1
4.17,40.6,86.72,71.18,47.02,13.35,32.78,2090.9,2,3.52,103.6,144.7,16.34,92.8,1
20.27,105.97,241.03,186.78,86.39,48.0,45.29,2382.2,4,0.58,61.9,260.9,3.3,98.7,1
13.42,62.03,152.63,125.2,55.14,23.55,38.61,799.0,2,0.98,7.5,351.9,0.96,99.6,1
56.82,229.1,590.49,414.73,88.0,48.0,36.6,1079.1,4,0.15,227.5,290.2,0.08,95.6,1
3.13,22.51,55.52,65.88,29.73,0.0,14.0,2329.0,3,0.47,56.5,66.1,2.66,25.3,0
10.57,58.09,110.12,119.78,49.43,19.32,29.05,497.4,4,2.62,81.7,672.2,0.09,98.5,1
6.07,25.35,70.85,75.9,46.3,7.44,23.07,1399.8,1,0.82,62.8,188.8,37.53,71.7,0
3.86,35.58,71.46,89.53,46.37,11.56,41.33,1364.2,2,1.67,80.5,70.3,4.34,91.3,1
9.5,47.04,67.47,63.25,29.0,0.0,36.81,1573.8,4,5.26,2.0,7.8,11.28,100.0,1
16.35,78.46,149.68,122.01,57.75,25.02,26.89,994.7,4,2.31,202.8,797.6,12.28,99.7,1
14.26,149.91,236.7,180.02,81.95,48.0,38.59,2244.4,2,1.09,48.5,164.5,0.02,100.0,1
13.26,58.56,91.93,77.3,30.55,0.13,23.9,867.1,2,0.82,154.7,46.5,15.82,58.2,1
6.01,27.52,49.38,54.19,37.22,0.0,27.13,1664.4,4,0.38,8.1,121.6,0.0,69.2,0
1.95,22.72,33.51,53.71,27.91,0.0,29.96,1341.4,2,2.54,89.0,91.2,0.84,40.6,0
5.61,58.73,138.84,121.35,58.2,26.64,40.59,860.0,4,0.21,287.4,544.2,3.23,94.6,1
1.49,16.85,25.33,50.1,35.17,0.0,47.9,696.6,5,0.11,60.9,122.1,0.1,61.8,1
1.25,9.11,15.34,30.81,24.83,0.0,31.02,2308.8,2,0.2,26.4,119.3,3.25,19.7,0
2.82,16.93,25.9,36.05,24.67,0.0,47.24,1478.7,4,0.5,12.5,284.9,10.1,74.6,1
2.63,15.43,22.97,47.45,29.86,0.0,36.4,1568.8,3,1.78,235.2,89.2,3.3,34.1,0
3.33,26.54,47.1,41.6,39.54,9.46,38.01,1944.1,4,3.56,32.7,39.4,0.58,88.7,1
3.26,13.89,30.56,36.25,30.34,0.0,35.46,470.6,3,8.84,443.0,263.3,10.12,91.2,1
0.58,4.04,11.11,14.12,27.25,0.0,34.32,1798.9,1,2.37,34.2,433.6,0.24,19.8,0
0.66,7.54,19.8,21.14,24.67,0.0,39.73,646.8,4,0.28,78.7,8.4,42.15,51.8,0
20.78,158.61,416.55,286.71,88.0,48.0,42.29,1855.0,2,0.59,73.5,353.8,1.51,100.0,1
3.42,20.07,33.04,27.35,29.93,0.0,28.48,596.8,5,0.25,7.7,103.7,0.17,54.3,0
3.26,21.82,38.65,41.16,26.3,0.0,34.39,2048.2,3,0.22,91.1,61.4,1.31,24.0,0
6.07,48.0,72.34,81.49,36.85,7.78,50.19,1730.1,1,1.51,134.0,7.2,6.28,83.8,1
1.73,16.89,42.06,35.09,40.04,8.43,37.51,1110.4,2,4.27,162.6,41.4,5.26,77.3,1
24.16,110.17,165.01,131.91,78.25,48.0,38.44,1053.6,4,2.08,88.7,72.9,21.13,97.2,1
15.14,60.73,132.35,132.12,66.61,29.1,45.92,612.8,3,2.9,200.9,13.2,0.27,100.0,1
2.42,17.76,31.03,60.78,20.75,0.0,31.74,2198.5,4,1.28,167.4,37.7,4.36,40.7,0
3.56,24.58,42.79,46.56,23.46,0.0,35.71,548.9,2,1.16,25.9,240.3,0.03,42.9,0
14.4,77.83,216.9,187.6,73.59,42.53,42.94,1291.4,3,4.99,61.6,209.0,0.59,100.0,1
21.22,105.0,258.24,187.69,88.0,48.0,46.53,796.7,4,2.3,18.5,264.4,9.58,100.0,1
4.24,28.92,74.36,56.6,23.97,0.0,15.9,2392.3,1,1.11,17.2,32.5,31.06,41.0,0
10.44,44.66,98.28,113.61,43.99,17.48,29.74,1530.3,3,0.73,149.4,7.9,2.18,89.0,1
1.66,9.49,24.85,60.3,35.4,0.0,27.51,614.1,5,0.18,90.7,113.8,2.1,37.0,0
27.58,176.17,405.84,289.76,88.0,48.0,34.95,1701.9,3,3.1,110.2,75.6,22.92,94.8,1
1.81,9.54,26.0,51.88,24.22,0.0,28.16,2382.4,4,0.33,158.1,269.9,3.51,25.8,0
25.74,106.38,190.84,159.25,70.84,38.54,41.64,1570.6,4,1.3,39.0,139.3,0.08,94.4,1
10.4,48.35,107.98,83.94,53.64,22.25,37.47,1260.5,3,1.83,61.6,481.7,0.07,91.1,1
3.28,37.83,89.52,72.19,50.68,12.99,43.56,915.9,4,2.45,112.0,11.4,0.47,100.0,1
4.59,33.62,65.55,68.74,35.16,0.0,44.1,493.5,3,0.16,12.2,81.4,8.83,83.0,1
1.96,12.25,32.24,66.98,27.62,0.0,41.77,779.3,4,0.02,214.8,93.5,0.0,36.5,0
2.39,17.93,49.69,37.75,30.52,0.0,33.15,1462.6,2,2.2,50.5,24.2,27.82,59.6,0
1.89,9.5,19.87,53.13,17.58,0.0,36.89,1882.9,5,1.09,129.0,157.4,27.57,51.0,0
4.41,20.01,38.96,32.91,29.59,0.0,32.08,2143.7,4,0.36,650.2,7.4,4.4,30.8,0
11.42,55.9,115.2,101.4,50.48,19.09,24.4,1966.8,2,7.23,77.4,224.5,2.59,98.1,1
7.0,28.2,73.15,81.25,32.92,0.0,44.11,563.5,3,2.82,29.1,6.9,5.87,89.0,1
0.93,7.37,16.99,46.94,28.63,0.0,35.29,1924.3,3,1.56,29.3,372.1,21.63,53.7,0
30.32,132.54,193.86,133.64,77.18,48.0,23.23,1521.4,4,2.18,7.5,12.1,25.71,94.3,1
16.85,80.12,172.98,136.27,72.61,35.57,40.56,1285.1,5,0.3,174.8,109.7,4.98,97.0,1
14.94,105.56,150.34,128.99,57.49,31.93,34.1,1502.8,1,5.9,41.7,30.4,2.8,97.9,1
38.24,186.7,464.88,310.14,88.0,48.0,18.49,317.0,5,10.11,22.8,25.7,22.88,99.8,1
0.91,9.36,17.41,22.4,27.68,0.0,24.32,442.2,1,1.88,150.1,229.9,20.8,16.7,0
5.37,25.06,51.64,68.43,30.47,0.0,30.04,1404.3,3,1.99,44.4,267.9,11.59,59.6,0
8.68,50.92,128.23,111.82,50.56,13.2,37.79,664.6,3,2.19,110.1,241.9,26.86,95.4,1
5.79,44.62,65.37,54.77,30.76,0.0,42.7,1445.6,2,1.97,64.9,93.2,0.0,75.2,1
3.83,20.01,32.45,50.18,27.43,0.0,42.41,1043.8,3,1.04,48.8,843.7,8.44,53.1,0
13.97,73.86,144.56,140.04,69.94,38.9,41.12,2205.6,4,1.4,80.7,74.8,2.82,94.8,1
1.68,14.54,25.04,21.97,23.98,0.0,35.71,2294.3,2,0.6,45.2,50.7,8.6,25.7,0
1.93,22.72,42.55,61.58,25.38,0.0,50.64,2357.5,1,1.07,245.3,1018.2,1.07,38.6,0
5.4,35.12,98.25,72.18,51.42,13.03,41.95,2187.8,3,1.03,9.1,681.2,1.77,97.5,1
6.28,35.5,90.73,64.27,46.44,13.19,37.89,2370.4,4,0.61,3.7,161.3,33.68,95.3,1
9.37,40.91,107.89,81.91,37.49,6.44,40.82,1782.9,5,2.78,62.6,42.2,1.64,92.4,1
3.15,13.24,35.91,47.37,34.03,0.0,32.61,2317.1,2,0.95,22.8,49.0,10.97,40.2,0
15.0,88.31,165.79,148.87,79.19,45.28,35.51,1647.8,5,1.44,163.4,132.4,5.44,99.4,1
3.08,14.78,26.84,35.13,12.0,0.0,18.3,1999.3,3,0.31,52.3,269.4,5.51,17.1,0
2.31,14.94,25.8,49.93,19.81,0.0,32.71,577.0,2,1.16,36.4,14.5,5.48,28.6,0
16.06,77.64,198.92,152.8,58.61,29.7,50.96,1733.5,5,2.58,53.4,209.5,0.0,99.6,1
12.72,110.75,260.42,184.82,88.0,48.0,37.26,2255.3,2,1.06,29.7,19.6,3.18,100.0,1
9.93,69.41,120.12,106.22,59.58,23.91,36.91,1434.1,4,1.47,42.7,334.5,1.43,99.2,1
13.72,73.03,140.78,132.4,60.05,32.84,44.49,692.3,4,2.18,100.7,136.7,0.26,95.8,1
4.1,49.31,104.01,110.07,57.47,22.61,39.04,1406.5,3,0.89,239.4,823.5,7.1,96.7,1
8.08,39.82,85.18,98.46,48.83,11.35,29.31,1784.6,4,0.78,55.6,251.7,0.18,90.1,1
2.4,10.83,28.64,38.85,38.23,0.0,36.2,1916.6,3,0.16,46.4,123.8,6.69,32.4,0
3.38,22.88,44.22,69.45,39.34,0.0,26.35,1399.8,2,1.57,182.7,27.4,45.5,62.6,0
2.9,18.59,49.67,46.83,31.49,0.0,37.56,756.5,4,2.21,2.7,140.7,48.23,91.1,1
3.33,14.8,29.86,57.64,28.76,0.0,28.88,2246.0,5,1.57,43.2,21.9,8.16,66.2,0
10.73,50.62,123.77,128.13,49.44,13.87,43.89,1924.6,3,0.6,72.2,424.0,17.52,93.3,1
4.56,35.32,95.44,67.65,45.34,14.18,31.66,868.4,5,0.55,110.2,47.1,37.93,91.0,1
1.49,11.05,29.52,44.0,28.64,0.0,28.99,2004.8,3,0.31,20.4,360.9,12.68,31.1,0
1.93,9.87,14.6,43.64,23.58,0.0,35.04,1030.5,3,0.09,68.1,65.2,1.14,18.5,0
7.12,40.51,68.38,81.03,47.2,10.78,39.11,956.1,4,1.0,100.2,45.2,0.72,89.1,1
0.46,4.31,8.9,18.71,20.51,0.0,25.74,2112.5,2,0.31,85.7,65.3,1.71,8.8,0
9.66,72.84,145.98,143.64,55.28,21.35,31.57,2133.8,5,2.11,102.6,221.3,0.0,100.0,1
8.84,37.92,87.11,89.31,39.17,2.33,36.89,1136.8,4,5.87,130.3,134.1,4.59,95.2,1
6.4,32.49,88.45,69.89,48.7,6.55,47.38,318.7,4,0.14,57.2,20.5,10.08,88.8,1
10.76,43.44,67.65,49.9,30.52,3.0,14.51,691.8,3,4.02,7.9,26.5,7.79,80.8,1
14.29,67.94,138.09,130.0,57.46,25.66,41.23,2209.5,4,1.93,6.9,85.6,0.3,99.6,1
4.9,20.38,34.03,30.71,37.49,0.0,32.74,2187.4,4,3.54,234.8,74.4,3.08,63.2,1
4.82,41.29,109.49,82.52,52.41,17.41,31.8,1252.0,3,0.3,135.8,343.6,7.53,86.9,1
8.94,42.33,116.43,106.55,52.15,14.17,30.21,938.6,5,4.27,173.4,152.9,6.68,100.0,1
1.89,22.62,46.83,62.6,32.9,0.0,32.91,935.8,3,5.7,317.1,37.2,1.46,80.5,1
14.81,76.33,117.98,112.6,46.86,26.15,41.28,2184.1,3,4.27,166.6,5.2,0.16,100.0,1
10.16,63.57,158.88,125.98,59.34,26.55,31.44,981.9,2,2.77,141.4,19.4,34.26,93.3,1
6.24,44.91,106.71,109.18,48.71,12.37,50.1,1374.3,5,0.17,128.0,217.0,0.96,96.6,1
17.2,75.91,143.97,142.43,61.94,24.23,41.3,1835.1,2,0.45,35.9,338.0,41.86,100.0,1
19.12,84.88,224.28,162.98,88.0,48.0,37.68,739.9,2,4.4,378.4,274.6,0.0,97.8,1
4.34,51.83,143.36,129.82,60.7,30.33,34.59,833.1,2,0.47,93.7,280.8,0.32,94.3,1
13.15,71.6,156.15,148.28,71.84,42.31,46.11,1051.9,3,0.77,30.1,54.4,0.04,100.0,1
6.07,42.6,93.38,96.58,55.78,22.06,47.36,1673.9,2,0.09,28.3,813.2,20.14,99.4,1
6.15,40.84,74.19,83.87,45.54,7.49,26.13,2016.7,4,1.78,202.7,16.3,2.83,85.6,1
8.09,36.55,81.07,67.77,50.05,18.56,30.03,1448.1,3,1.49,34.6,309.8,6.16,85.4,1
6.55,49.39,99.55,93.79,41.93,10.4,41.39,579.2,4,5.88,5.1,18.3,2.93,97.0,1
4.13,17.19,31.35,50.69,21.88,0.0,43.96,1237.1,2,4.01,67.1,56.0,34.04,76.6,1
9.43,85.31,127.46,119.36,58.8,30.11,33.45,568.2,2,1.27,204.0,123.1,0.01,98.4,1
14.25,73.95,129.69,134.16,48.27,13.6,29.69,485.4,4,1.69,64.2,9.9,32.31,95.6,1
2.64,13.58,22.77,21.32,24.63,0.0,36.67,1538.2,3,0.96,195.3,90.2,7.88,25.9,0
